canonical_market_id,carver_instrument,globex_asset,trade_date,present_in,missing_from
nasdaq,NASDAQ,NQ,2017-01-02,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2017-07-10,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2017-07-11,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2017-11-29,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2017-12-25,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2018-01-01,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2018-03-02,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2018-06-07,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2020-07-03,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2020-09-07,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2020-11-26,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-01-18,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-02-15,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-04-02,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-05-31,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-07-05,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-09-06,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2021-11-25,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-01-17,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-02-21,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-05-30,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-06-20,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-07-04,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-09-05,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-11-24,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2022-12-26,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-01-02,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-01-16,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-02-20,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-04-07,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-05-29,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-06-19,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-07-04,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-09-04,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-11-23,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2023-12-25,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2024-01-01,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2024-01-15,globex,pysystemtrade
nasdaq,NASDAQ,NQ,2024-02-19,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2010-07-05,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2010-09-06,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2010-09-08,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2010-09-28,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2010-11-25,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-01-17,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-02-21,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-03-22,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-04-11,globex,pysystemtrade
crude_wti,CRUDE_W,CL,2011-05-30,globex,pysystemtrade
