asset,yr,n_days,avg_spread,avg_pct_spread,pct_days_backwardated
6J,2010,170,-0.00001807941176470593,-0.15329152160804385,6.470588235294119
6J,2011,293,-0.00001653071672354953,-0.13051695353530213,12.969283276450511
6J,2012,292,-0.000014003424657534231,-0.111130207711771,14.04109589041096
6J,2013,298,-9.58557046979864e-6,-0.09318494580327806,16.10738255033557
6J,2014,287,-8.39024390243905e-6,-0.08989998590534039,10.104529616724738
6J,2015,297,-0.000014444444444444503,-0.17416922036897287,6.0606060606060606
6J,2016,300,-0.00003343499999999998,-0.36010609407422345,0.33333333333333337
6J,2017,307,-0.00001817752442996736,-0.20394041270548513,5.211726384364821
6J,2018,308,-0.000022647727272727208,-0.24934990183093417,1.948051948051948
6J,2019,300,-0.000021720000000000043,-0.23579042093101735,1.6666666666666667
6J,2020,301,-8.722591362126267e-6,-0.09349265496040411,15.946843853820598
6J,2021,302,-4.137417218543066e-6,-0.045382962520798764,22.8476821192053
6J,2022,308,-0.00001593506493506497,-0.21630743529227003,10.714285714285714
6J,2023,309,-0.000035294498381877005,-0.4923752194411739,0.6472491909385114
6J,2024,313,-0.00002931629392971244,-0.4413891478557078,0.0
6J,2025,311,-0.00002265434083601284,-0.3369692952858967,0.964630225080386
6J,2026,144,-0.000015774305555555618,-0.2482715977370039,0.6944444444444444
6L,2010,26,0.008288461538461514,1.4758662890242311,96.15384615384616
6L,2011,68,0.035881617647058814,7.368379894077479,94.11764705882352
6L,2012,171,0.003911403508771927,0.7699999848534881,95.90643274853801
6L,2013,217,0.003042626728110598,0.6733076945384134,94.00921658986175
6L,2014,233,0.004728326180257513,1.1398747259213349,94.84978540772532
6L,2015,247,0.0033331983805668,1.1145128034977958,89.87854251012146
6L,2016,241,0.003098962655601661,1.0961847490261647,96.6804979253112
6L,2017,217,0.0018179723502304169,0.5881017830722773,91.24423963133641
6L,2018,247,0.0006908906882591102,0.2504723461404801,78.13765182186235
6L,2019,266,0.0005187969924812041,0.20410243643748005,78.19548872180451
6L,2020,278,0.0003172661870503608,0.16748072618224524,73.7410071942446
6L,2021,280,0.0006980357142857135,0.381566079908745,84.28571428571429
6L,2022,274,0.001420985401459855,0.7394444323313911,95.98540145985402
6L,2023,275,0.0009201818181818186,0.4641412602883031,94.9090909090909
6L,2024,279,0.0005921146953405022,0.3242705514401459,94.98207885304659
6L,2025,278,0.0010856115107913656,0.6127941754326366,94.24460431654677
6L,2026,132,0.0013003787878787887,0.6758816259870315,98.48484848484848
6M,2010,106,0.0006669811320754713,0.85681270653791,95.28301886792453
6M,2011,149,0.0006337248322147654,0.7940488460409739,93.28859060402685
6M,2012,208,0.0006381009615384614,0.851912364650784,95.67307692307693
6M,2013,209,0.0006279904306220094,0.8108052103470037,98.08612440191388
6M,2014,218,0.00046800458715596366,0.6267625737139406,94.95412844036697
6M,2015,246,0.00038272357723577336,0.6111105770403328,91.46341463414635
6M,2016,235,0.00045089361702127707,0.8605567308772502,96.17021276595744
6M,2017,255,0.0005744313725490199,1.1098648923643981,97.25490196078431
6M,2018,244,0.0006941393442622949,1.3632991778650099,97.1311475409836
6M,2019,221,0.0006370135746606339,1.252969484996556,100.0
6M,2020,273,0.0002933333333333334,0.6329597991639754,89.37728937728939
6M,2021,256,0.00035933593749999985,0.7396171333464038,93.359375
6M,2022,227,0.0006078414096916293,1.246868000754711,97.3568281938326
6M,2023,234,0.0005659829059829063,1.0174048245604999,94.44444444444444
6M,2024,257,0.000427937743190662,0.7941751559787291,93.77431906614785
6M,2025,199,0.00038688442211055256,0.7595144659870064,95.97989949748744
6M,2026,131,0.00021541984732824439,0.3788836706594813,90.83969465648855
CL,2010,179,-0.7311731843575412,-0.9183862142540393,0.0
CL,2011,310,-0.6402258064516125,-0.6741734939181383,6.774193548387098
CL,2012,313,-0.3887220447284341,-0.4138520414013026,0.3194888178913738
CL,2013,308,-0.06055194805194853,-0.07941170119801289,31.16883116883117
CL,2014,306,0.5465686274509803,0.5400633434258295,80.71895424836602
CL,2015,310,-0.8860645161290317,-1.8394450656719012,0.0
CL,2016,310,-0.9421935483870971,-2.3099518584633767,0.0
CL,2017,310,-0.3324193548387098,-0.6534158098096629,1.2903225806451613
CL,2018,312,0.2635576923076922,0.36951931913933433,71.47435897435898
CL,2019,312,-0.08589743589743606,-0.15528824262881627,30.128205128205128
CL,2020,310,-0.7983548387096775,-3.0614109130853584,4.516129032258064
CL,2021,310,0.3179354838709668,0.4294470140516095,81.61290322580645
CL,2022,310,1.3354516129032243,1.3472787917884204,89.35483870967742
CL,2023,310,0.1745161290322579,0.1908835745455378,46.774193548387096
CL,2024,313,0.5773162939297117,0.759996006442858,93.9297124600639
CL,2025,312,0.5840705128205133,0.8987053491905549,98.71794871794873
CL,2026,143,2.558811188811191,2.792913623918341,100.0
ES,2010,179,5.100558659217877,0.4512379026039806,100.0
ES,2011,309,5.769417475728155,0.46103792836821955,100.0
ES,2012,309,6.473300970873787,0.4729089295280513,99.35275080906149
ES,2013,303,6.345709570957096,0.38955430615003006,99.66996699669967
ES,2014,302,7.499172185430464,0.39090339029227983,100.0
ES,2015,311,7.905144694533762,0.3867807510612586,100.0
ES,2016,310,7.356451612903226,0.35638575577000775,100.0
ES,2017,310,1.9451612903225806,0.08386758723228735,77.09677419354838
ES,2018,312,-4.374198717948718,-0.15774485116634945,0.641025641025641
ES,2019,311,-3.045016077170418,-0.10654586020789414,5.787781350482315
ES,2020,311,8.922025723472668,0.289297286529718,88.7459807073955
ES,2021,311,9.487138263665594,0.22542031863305892,100.0
ES,2022,310,-12.666935483870967,-0.3253208706175231,20.967741935483872
ES,2023,311,-43.11736334405145,-0.9868174858857185,0.3215434083601286
ES,2024,313,-60.25079872204473,-1.092852890262121,0.0
ES,2025,312,-54.35496794871795,-0.862996400494415,0.0
ES,2026,12,-52.354166666666664,-0.7455874759438533,0.0
GC,2010,179,-0.6346368715083844,-0.048772926007835574,36.312849162011176
GC,2011,310,-0.49967741935483606,-0.030636943474406955,34.193548387096776
GC,2012,313,-0.4162939297124665,-0.024606452095076614,33.54632587859425
GC,2013,308,-0.46396103896103336,-0.032262259560486554,43.506493506493506
GC,2014,304,-0.1546052631578835,-0.013202170789337877,38.15789473684211
GC,2015,310,0.05387096774193123,0.005852507459344889,51.29032258064517
GC,2016,310,-1.0719354838709596,-0.08362696829996698,28.387096774193548
GC,2017,310,-1.2648387096774176,-0.10034605898936522,20.0
GC,2018,312,-1.5548076923076921,-0.12249931241455066,18.58974358974359
GC,2019,312,-2.567307692307696,-0.18377203330019842,9.935897435897436
GC,2020,310,-3.3054838709677385,-0.18951015482191505,17.419354838709676
GC,2021,310,-1.038064516129027,-0.05700674979491791,23.870967741935484
GC,2022,310,-2.091290322580642,-0.11714426558392932,24.838709677419356
GC,2023,310,-5.992258064516122,-0.3066114413241924,6.774193548387098
GC,2024,313,-7.093610223642178,-0.2939903560467916,11.821086261980831
GC,2025,312,-10.308974358974371,-0.2963140816049945,7.6923076923076925
