scheme,start,end,window_years,sharpe,ret_pct,total_pnl,win_rate,max_dd_pct,max_dd_usd,total_trades,cum_avg_sharpe,cum_avg_ret_pct,timestamp,strategy,period,quantity,dte_target,dte_range,delta_target,delta_range,initial_capital,final_capital,avg_ret_pur,avg_ret_pp,avg_win,max_win,avg_loss,max_loss,winning_trades,avg_days_held,peak_capital,trough_capital,dd_duration,execution_time,max_positions,early_close_after_dit,early_close_on_dte,leverage,max_margin,max_spread_width,max_trade_loss,param_string,vix_range,vix_max,use_iv,sl,tp,avg_premium,trade_selection,premium_ratio,short_delta_target,long_delta_target
B_expanding,2010-01-01,2020-01-01,9.999,0.37624660759863116,1.93,1927.32,0.67,1.49,1497.04,103,0.11403327684471357,0.6659999999999998,2026-07-10 10:06:47,bull put credit spread,9.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,101927.32,0.02,0.0,123.29,326.94,-193.52,-654.06,69,20.2,100194.78,98697.74,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2020-01-01,,,,,,193.66,premium first,,,
B_expanding,2010-01-01,2021-01-01,11.001,0.37624660759863116,1.93,1927.32,0.67,1.49,1497.04,103,0.13787085236779698,0.7809090909090908,2026-07-10 10:07:01,bull put credit spread,11.001,1,"[45, 45]",,"[0.3, 0.25]",,100000,101927.32,0.02,0.0,123.29,326.94,-193.52,-654.06,69,20.2,100194.78,98697.74,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2021-01-01,,,,,,193.66,premium first,,,
B_expanding,2010-01-01,2022-01-01,12.0,0.37624660759863116,1.93,1927.32,0.67,1.49,1497.04,103,0.15773549863703315,0.8766666666666665,2026-07-10 10:07:18,bull put credit spread,12.0,1,"[45, 45]",,"[0.3, 0.25]",,100000,101927.32,0.02,0.0,123.29,326.94,-193.52,-654.06,69,20.2,100194.78,98697.74,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2022-01-01,,,,,,193.66,premium first,,,
B_expanding,2010-01-01,2023-01-01,12.999,0.37624660759863116,1.93,1927.32,0.67,1.49,1497.04,103,0.17454404548023297,0.9576923076923075,2026-07-10 10:07:40,bull put credit spread,12.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,101927.32,0.02,0.0,123.29,326.94,-193.52,-654.06,69,20.2,100194.78,98697.74,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2023-01-01,,,,,,193.66,premium first,,,
B_expanding,2010-01-01,2023-12-29,13.99,0.37624660759863116,1.93,1927.32,0.67,1.49,1497.04,103,0.18895137134583284,1.027142857142857,2026-07-10 10:08:04,bull put credit spread,13.99,1,"[45, 45]",,"[0.3, 0.25]",,100000,101927.32,0.02,0.0,123.29,326.94,-193.52,-654.06,69,20.2,100194.78,98697.74,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2023-12-29,,,,,,193.66,premium first,,,
C_capped_rolling,2010-01-01,2011-01-01,0.999,0.055505824242076396,-0.09,-92.1,0.7,0.80,796.68,10,,,2026-07-10 10:08:05,bull put credit spread,0.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,99907.9,-0.01,-0.0,146.23,211.94,-371.89,-654.06,7,20.7,100127.82,99331.14,6,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2011-01-01,,,,,,213.75,premium first,,,
C_capped_rolling,2010-01-01,2012-01-01,1.999,-0.6522341459630975,-0.93,-927.52,0.59,1.12,1122.30,17,,,2026-07-10 10:08:06,bull put credit spread,1.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,99072.48,-0.07,-0.01,133.69,211.94,-323.49,-654.06,10,20.5,100194.78,99072.48,8,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2012-01-01,,,,,,210.21,premium first,,,
C_capped_rolling,2010-01-01,2013-01-01,3.001,-0.23318856007605693,-0.58,-579.68,0.64,1.49,1497.04,28,,,2026-07-10 10:08:08,bull put credit spread,3.001,1,"[45, 45]",,"[0.3, 0.25]",,100000,99420.32,-0.02,-0.0,133.25,211.94,-297.81,-654.06,18,20.5,100194.78,98697.74,15,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2013-01-01,,,,,,208.82,premium first,,,
C_capped_rolling,2010-01-01,2014-01-01,4.0,0.13052294278656734,0.19,188.16,0.67,1.49,1497.04,39,,,2026-07-10 10:08:11,bull put credit spread,4.0,1,"[45, 45]",,"[0.3, 0.25]",,100000,100188.16,0.01,0.0,141.9,232.44,-269.33,-654.06,26,20.6,100194.78,98697.74,26,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2014-01-01,,,,,,209.97,premium first,,,
C_capped_rolling,2010-01-01,2015-01-01,4.999,0.33251566340699806,1.02,1019.7,0.69,1.49,1497.04,55,,,2026-07-10 10:08:14,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,101019.7,0.02,0.0,145.43,357.94,-265.09,-654.06,38,20.5,100194.78,98697.74,26,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2010-01-01:2015-01-01,,,,,,206.12,premium first,,,
C_capped_rolling,2011-01-01,2016-01-01,4.999,0.02934805446586954,0.24,237.14,0.62,1.49,1497.04,56,,,2026-07-10 10:08:18,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,100237.14,0.01,0.0,130.58,326.94,-206.35,-598.06,35,20.4,100286.88,98789.84,26,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2011-01-01:2016-01-01,,,,,,203.06,premium first,,,
C_capped_rolling,2012-01-01,2017-01-01,5.002,0.4989790941505839,1.74,1738.78,0.66,0.85,855.62,62,,,2026-07-10 10:08:23,bull put credit spread,5.002,1,"[45, 45]",,"[0.3, 0.25]",,100000,101738.78,0.04,0.0,129.01,326.94,-169.08,-598.06,41,20.1,100334.88,99479.26,30,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2012-01-01:2017-01-01,,,,,,201.4,premium first,,,
C_capped_rolling,2013-01-01,2018-01-01,4.999,0.8813505481477844,2.79,2791.42,0.69,0.80,816.08,68,,,2026-07-10 10:08:29,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,102791.42,0.05,0.01,122.63,326.94,-141.54,-578.56,47,20.1,101678.74,100862.66,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2013-01-01:2018-01-01,,,,,,192.58,premium first,,,
C_capped_rolling,2014-01-01,2019-01-01,4.999,0.7198258791565811,1.74,1736.22,0.68,0.81,816.08,63,,,2026-07-10 10:08:37,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,101736.22,0.03,0.0,111.7,326.94,-153.33,-578.56,43,19.9,100758.46,99942.38,31,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2014-01-01:2019-01-01,,,,,,186.21,premium first,,,
C_capped_rolling,2015-01-01,2020-01-01,4.999,0.6194811947685889,1.19,1192.12,0.65,0.79,795.80,48,,,2026-07-10 10:08:47,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,101192.12,0.03,0.0,105.33,220.94,-121.94,-578.56,31,19.9,100205.64,99409.84,17,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2015-01-01:2020-01-01,,,,,,179.39,premium first,,,
C_capped_rolling,2016-01-01,2021-01-01,5.002,1.3048504476123661,1.78,1782.28,0.73,0.50,510.18,37,,,2026-07-10 10:08:59,bull put credit spread,5.002,1,"[45, 45]",,"[0.3, 0.25]",,100000,101782.28,0.06,0.01,107.88,220.94,-113.06,-434.06,27,19.9,102029.7,101519.52,6,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2016-01-01:2021-01-01,,,,,,174.0,premium first,,,
C_capped_rolling,2017-01-01,2022-01-01,4.999,0.9125604157392602,0.89,887.5,0.72,0.50,510.18,25,,,2026-07-10 10:09:10,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,100887.5,0.04,0.0,104.19,156.44,-141.13,-434.06,18,20.0,101134.92,100624.74,6,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2017-01-01:2022-01-01,,,,,,164.66,premium first,,,
C_capped_rolling,2018-01-01,2023-01-01,4.999,-0.6633868930178989,-0.15,-146.48,0.62,0.51,510.18,8,,,2026-07-10 10:09:18,bull put credit spread,4.999,1,"[45, 45]",,"[0.3, 0.25]",,100000,99853.52,-0.02,-0.0,96.54,110.94,-209.73,-434.06,5,19.8,100100.94,99590.76,6,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2018-01-01:2023-01-01,,,,,,150.56,premium first,,,
C_capped_rolling,2019-01-01,2023-12-29,4.991,,-0.01,-11.56,0.0,0.01,11.56,1,,,2026-07-10 10:09:24,bull put credit spread,4.991,1,"[45, 45]",,"[0.3, 0.25]",,100000,99988.44,-0.01,-0.0,,-11.56,-11.56,-11.56,0,22.0,100000.0,99988.44,0,,1,,25,1.0,0.8,10,7500,VERTICAL_SPREAD_45_2019-01-01:2023-12-29,,,,,,27.0,premium first,,,
